utility_name,year,month,disconnections,disconnection_rate
Dominion Energy,2012,December,398,
Dominion Energy,2013,January,538,
Dominion Energy,2013,February,513,
Dominion Energy,2013,March,243,
Dominion Energy,2013,April,650,
Dominion Energy,2013,May,612,
Dominion Energy,2013,June,624,
Dominion Energy,2013,July,650,
Dominion Energy,2013,August,587,
Dominion Energy,2013,September,658,
Dominion Energy,2013,October,748,
Dominion Energy,2013,November,514,
Dominion Energy,2013,December,270,
Dominion Energy,2014,January,209,
Dominion Energy,2014,February,395,
Dominion Energy,2014,March,546,
Dominion Energy,2014,April,624,
Dominion Energy,2014,May,716,
Dominion Energy,2014,June,729,
Dominion Energy,2014,July,666,
Dominion Energy,2014,August,684,
Dominion Energy,2014,September,744,
Dominion Energy,2014,October,714,
Dominion Energy,2014,November,459,
Dominion Energy,2014,December,359,
Dominion Energy,2015,January,106,
Dominion Energy,2015,February,64,
Dominion Energy,2015,March,939,
Dominion Energy,2015,April,765,
Dominion Energy,2015,May,712,
Dominion Energy,2015,June,674,
Dominion Energy,2015,July,596,
Dominion Energy,2015,August,727,
Dominion Energy,2015,September,820,
Dominion Energy,2015,October,713,
Dominion Energy,2015,November,483,
Dominion Energy,2015,December,428,
Dominion Energy,2016,January,278,
Dominion Energy,2016,February,360,
Dominion Energy,2016,March,533,
Dominion Energy,2016,April,520,
Dominion Energy,2016,May,537,
Dominion Energy,2016,June,511,
Dominion Energy,2016,July,217,
Dominion Energy,2016,August,523,
Dominion Energy,2016,September,475,
Dominion Energy,2016,October,385,
Dominion Energy,2016,November,469,
Dominion Energy,2016,December,317,
Dominion Energy,2017,January,511,
Dominion Energy,2017,February,484,
Dominion Energy,2017,March,405,
Dominion Energy,2017,April,527,
Dominion Energy,2017,May,542,
Dominion Energy,2017,June,629,
Dominion Energy,2017,July,471,
Dominion Energy,2017,August,593,
Dominion Energy,2017,September,583,
Dominion Energy,2017,October,633,
Dominion Energy,2017,November,512,
Dominion Energy,2017,December,245,
Dominion Energy,2018,January,238,
Dominion Energy,2018,February,588,
Dominion Energy,2018,March,385,
Dominion Energy,2018,April,663,
Dominion Energy,2018,May,629,
Dominion Energy,2018,June,522,
Dominion Energy,2018,July,619,
Dominion Energy,2018,August,482,
Dominion Energy,2018,September,459,
Dominion Energy,2018,October,791,
Dominion Energy,2018,November,500,
Dominion Energy,2018,December,203,
Dominion Energy,2019,January,234,
Dominion Energy,2019,February,523,
Dominion Energy,2019,March,298,
Dominion Energy,2019,April,637,
Dominion Energy,2019,May,350,
Dominion Energy,2019,June,471,
Dominion Energy,2019,July,505,
Dominion Energy,2019,August,358,
Dominion Energy,2019,September,353,
Dominion Energy,2019,October,557,
Dominion Energy,2019,November,296,
Dominion Energy,2019,December,233,
Dominion Energy,2020,January,331,
Dominion Energy,2020,February,452,
Dominion Energy,2020,March,245,
Dominion Energy,2020,April,0,
Dominion Energy,2020,May,0,
Dominion Energy,2020,June,0,
Dominion Energy,2020,July,0,
Dominion Energy,2020,August,0,
Dominion Energy,2020,September,0,
Dominion Energy,2020,October,0,
Dominion Energy,2020,November,5,
Dominion Energy,2020,December,22,
Dominion Energy,2021,January,0,
Dominion Energy,2021,February,0,
Dominion Energy,2021,March,0,
Dominion Energy,2021,April,0,
Dominion Energy,2021,May,0,
Dominion Energy,2021,June,0,
Dominion Energy,2021,July,0,
Dominion Energy,2021,August,0,
Dominion Energy,2021,September,0,
Dominion Energy,2021,October,140,
Dominion Energy,2021,November,297,
Dominion Energy,2021,December,179,
Dominion Energy,2022,January,1,
Dominion Energy,2022,February,136,
Dominion Energy,2022,March,258,
Dominion Energy,2022,April,183,
Dominion Energy,2022,May,202,
Dominion Energy,2022,June,100,
Dominion Energy,2022,July,98,
Dominion Energy,2022,August,,
Dominion Energy,2022,September,,
Dominion Energy,2022,October,,
