timestamp,reporting_period,utility_name,residential_accounts,disconnections,disconnection_rate
2000-02-01,Feb 2000,Duke Energy Carolinas,,13275.0,
2000-02-01,Feb 2000,Duke Energy Progress,,3472.0,
2000-02-01,Feb 2000,Dominion Energy,,,
2000-03-01,Mar 2000,Dominion Energy,,,
2000-03-01,Mar 2000,Duke Energy Progress,,985.0,
2000-03-01,Mar 2000,Duke Energy Carolinas,,7426.0,
2000-04-01,Apr 2000,Dominion Energy,,,
2000-04-01,Apr 2000,Duke Energy Carolinas,,13856.0,
2000-04-01,Apr 2000,Duke Energy Progress,,6466.0,
2000-05-01,May 2000,Duke Energy Progress,,6652.0,
2000-05-01,May 2000,Duke Energy Carolinas,,14453.0,
2000-05-01,May 2000,Dominion Energy,,,
2000-06-01,Jun 2000,Dominion Energy,,,
2000-06-01,Jun 2000,Duke Energy Progress,,5486.0,
2000-06-01,Jun 2000,Duke Energy Carolinas,,7952.0,
2000-07-01,Jul 2000,Duke Energy Carolinas,,7380.0,
2000-07-01,Jul 2000,Duke Energy Progress,,5899.0,
2000-07-01,Jul 2000,Dominion Energy,,,
2000-08-01,Aug 2000,Duke Energy Progress,,6360.0,
2000-08-01,Aug 2000,Dominion Energy,,,
2000-08-01,Aug 2000,Duke Energy Carolinas,,12038.0,
2000-09-01,Sep 2000,Duke Energy Progress,,,
2000-09-01,Sep 2000,Dominion Energy,92034.0,267.0,0.0029011017667383795
2000-09-01,Sep 2000,Duke Energy Carolinas,,12722.0,
2000-10-01,Oct 2000,Duke Energy Progress,,7459.0,
2000-10-01,Oct 2000,Duke Energy Carolinas,,15999.0,
2000-10-01,Oct 2000,Dominion Energy,92015.0,315.0,0.003423354887790034
2000-11-01,Nov 2000,Duke Energy Progress,,,
2000-11-01,Nov 2000,Duke Energy Carolinas,,9946.0,
2000-11-01,Nov 2000,Dominion Energy,92102.0,203.0,0.0022040780873379515
2000-12-01,Dec 2000,Duke Energy Progress,,5380.0,
2000-12-01,Dec 2000,Duke Energy Carolinas,,7556.0,
2000-12-01,Dec 2000,Dominion Energy,,,
2001-01-01,Jan 2001,Duke Energy Carolinas,,140.0,
2001-01-01,Jan 2001,Dominion Energy,92474.0,27.0,0.000291973960248286
2001-01-01,Jan 2001,Duke Energy Progress,,5634.0,
2001-02-01,Feb 2001,Duke Energy Carolinas,,18.0,
2001-02-01,Feb 2001,Dominion Energy,92597.0,25.0,0.0002699871486117261
2001-02-01,Feb 2001,Duke Energy Progress,,,
2001-03-01,Mar 2001,Duke Energy Carolinas,,16443.0,
2001-03-01,Mar 2001,Duke Energy Progress,,6330.0,
2001-03-01,Mar 2001,Dominion Energy,92680.0,148.0,0.0015968925334484247
2001-04-01,Apr 2001,Duke Energy Carolinas,,15357.0,
2001-04-01,Apr 2001,Duke Energy Progress,,1790.0,
2001-04-01,Apr 2001,Dominion Energy,92673.0,673.0,0.007262093597919567
2001-05-01,May 2001,Duke Energy Progress,,2834.0,
2001-05-01,May 2001,Duke Energy Carolinas,,14496.0,
2001-05-01,May 2001,Dominion Energy,92744.0,573.0,0.006178297248339515
2001-06-01,Jun 2001,Dominion Energy,92986.0,344.0,0.0036994816423977805
2001-06-01,Jun 2001,Duke Energy Progress,,1843.0,
2001-06-01,Jun 2001,Duke Energy Carolinas,,7905.0,
2001-07-01,Jul 2001,Dominion Energy,93157.0,448.0,0.004809085736981655
2001-07-01,Jul 2001,Duke Energy Progress,,,
2001-07-01,Jul 2001,Duke Energy Carolinas,,7297.0,
2001-08-01,Aug 2001,Dominion Energy,93204.0,446.0,0.0047852023518303935
2001-08-01,Aug 2001,Duke Energy Carolinas,,,
2001-08-01,Aug 2001,Duke Energy Progress,,602.0,
2001-09-01,Sep 2001,Dominion Energy,93323.0,415.0,0.004446920909100651
2001-09-01,Sep 2001,Duke Energy Carolinas,,8932.0,
2001-09-01,Sep 2001,Duke Energy Progress,,426.0,
2001-10-01,Oct 2001,Dominion Energy,93367.0,501.0,0.005365921578287832
2001-10-01,Oct 2001,Duke Energy Carolinas,,16084.0,
2001-10-01,Oct 2001,Duke Energy Progress,,384.0,
2001-11-01,Nov 2001,Duke Energy Progress,,245.0,
2001-11-01,Nov 2001,Dominion Energy,93465.0,393.0,0.004204782538918312
2001-11-01,Nov 2001,Duke Energy Carolinas,,12298.0,
2001-12-01,Dec 2001,Dominion Energy,93729.0,134.0,0.0014296535757342978
2001-12-01,Dec 2001,Duke Energy Carolinas,,7968.0,
2001-12-01,Dec 2001,Duke Energy Progress,,287.0,
2002-01-01,Jan 2002,Dominion Energy,93817.0,76.0,0.0008100877239732671
2002-01-01,Jan 2002,Duke Energy Progress,,,
2002-01-01,Jan 2002,Duke Energy Carolinas,,10791.0,
2002-02-01,Feb 2002,Duke Energy Carolinas,,9773.0,
2002-02-01,Feb 2002,Duke Energy Progress,,588.0,
2002-02-01,Feb 2002,Dominion Energy,94125.0,20.0,0.00021248339973439575
2002-03-01,Mar 2002,Duke Energy Progress,,816.0,
2002-03-01,Mar 2002,Dominion Energy,,,
2002-03-01,Mar 2002,Duke Energy Carolinas,,17712.0,
2002-04-01,Apr 2002,Duke Energy Progress,,6567.0,
2002-04-01,Apr 2002,Duke Energy Carolinas,,17652.0,
2002-04-01,Apr 2002,Dominion Energy,94294.0,503.0,0.005334379706025834
2002-05-01,May 2002,Duke Energy Carolinas,,13825.0,
2002-05-01,May 2002,Duke Energy Progress,,5952.0,
2002-05-01,May 2002,Dominion Energy,94372.0,461.0,0.004884923494256771
2002-06-01,Jun 2002,Dominion Energy,94521.0,363.0,0.0038404164153997525
2002-06-01,Jun 2002,Duke Energy Progress,,4872.0,
2002-06-01,Jun 2002,Duke Energy Carolinas,,14411.0,
2002-07-01,Jul 2002,Duke Energy Carolinas,,10987.0,
2002-07-01,Jul 2002,Dominion Energy,,,
2002-07-01,Jul 2002,Duke Energy Progress,,4002.0,
2002-08-01,Aug 2002,Duke Energy Progress,,7250.0,
2002-08-01,Aug 2002,Duke Energy Carolinas,,14947.0,
2002-08-01,Aug 2002,Dominion Energy,,,
2002-09-01,Sep 2002,Dominion Energy,,,
2002-09-01,Sep 2002,Duke Energy Progress,,337.0,
2002-09-01,Sep 2002,Duke Energy Carolinas,,17830.0,
2002-10-01,Oct 2002,Duke Energy Carolinas,,23107.0,
2002-10-01,Oct 2002,Duke Energy Progress,,321.0,
2002-10-01,Oct 2002,Dominion Energy,,,
2002-11-01,Nov 2002,Duke Energy Progress,,240.0,
2002-11-01,Nov 2002,Dominion Energy,,,
2002-11-01,Nov 2002,Duke Energy Carolinas,,14868.0,
2002-12-01,Dec 2002,Duke Energy Progress,,239.0,
2002-12-01,Dec 2002,Duke Energy Carolinas,,2005.0,
2002-12-01,Dec 2002,Dominion Energy,95214.0,78.0,0.0008192072594366375
2003-01-01,Jan 2003,Dominion Energy,95383.99999999999,49.0,0.0005137129916967207
2003-01-01,Jan 2003,Duke Energy Carolinas,,15761.0,
2003-01-01,Jan 2003,Duke Energy Progress,,674.0,
2003-02-01,Feb 2003,Duke Energy Carolinas,,12646.0,
2003-02-01,Feb 2003,Duke Energy Progress,,606.0,
2003-02-01,Feb 2003,Dominion Energy,95531.0,90.0,0.0009421025635657535
2003-03-01,Mar 2003,Dominion Energy,95589.0,207.0,0.0021655211373693625
2003-03-01,Mar 2003,Duke Energy Progress,,3.0,
2003-03-01,Mar 2003,Duke Energy Carolinas,,11864.0,
2003-04-01,Apr 2003,Duke Energy Carolinas,,11690.0,
2003-04-01,Apr 2003,Duke Energy Progress,,,
2003-04-01,Apr 2003,Dominion Energy,95666.0,297.0,0.0031045512512282315
2003-05-01,May 2003,Duke Energy Progress,,1873.0,
2003-05-01,May 2003,Duke Energy Carolinas,,12844.0,
2003-05-01,May 2003,Dominion Energy,95785.0,311.0,0.0032468549355327034
2003-06-01,Jun 2003,Duke Energy Progress,,1331.0,
2003-06-01,Jun 2003,Duke Energy Carolinas,,10324.0,
2003-06-01,Jun 2003,Dominion Energy,95876.0,318.0,0.0033167841795652716
2003-07-01,Jul 2003,Duke Energy Carolinas,,9431.0,
2003-07-01,Jul 2003,Dominion Energy,96024.0,338.0,0.003519953344997084
2003-07-01,Jul 2003,Duke Energy Progress,,864.0,
2003-08-01,Aug 2003,Duke Energy Progress,,370.0,
2003-08-01,Aug 2003,Dominion Energy,96140.0,245.0,0.0025483669648429376
2003-08-01,Aug 2003,Duke Energy Carolinas,,10911.0,
2003-09-01,Sep 2003,Duke Energy Progress,,411.0,
2003-09-01,Sep 2003,Dominion Energy,96206.0,82.0,0.0008523376920358398
2003-09-01,Sep 2003,Duke Energy Carolinas,,,
2003-10-01,Oct 2003,Duke Energy Progress,,,
2003-10-01,Oct 2003,Duke Energy Carolinas,,9360.0,
2003-10-01,Oct 2003,Dominion Energy,96084.0,30.0,0.0003122268015486449
2003-11-01,Nov 2003,Duke Energy Progress,,6334.0,
2003-11-01,Nov 2003,Duke Energy Carolinas,,7724.0,
2003-11-01,Nov 2003,Dominion Energy,96137.0,152.0,0.001581077004691222
2003-12-01,Dec 2003,Duke Energy Carolinas,,6328.0,
2003-12-01,Dec 2003,Duke Energy Progress,,5636.0,
2003-12-01,Dec 2003,Dominion Energy,96182.0,202.0,0.00210018506581273
2004-01-01,Jan 2004,Duke Energy Carolinas,,3857.0,
2004-01-01,Jan 2004,Dominion Energy,96345.0,29.0,0.0003010016088017022
2004-01-01,Jan 2004,Duke Energy Progress,,4566.0,
2004-02-01,Feb 2004,Duke Energy Carolinas,,7755.0,
2004-02-01,Feb 2004,Dominion Energy,96495.0,135.0,0.001399036219493238
2004-02-01,Feb 2004,Duke Energy Progress,,5640.0,
2004-03-01,Mar 2004,Dominion Energy,96467.99999999999,468.0,0.00485134967035701
2004-03-01,Mar 2004,Duke Energy Carolinas,,8832.0,
2004-03-01,Mar 2004,Duke Energy Progress,,7743.0,
2004-04-01,Apr 2004,Dominion Energy,96468.0,350.0,0.00362814612099349
2004-04-01,Apr 2004,Duke Energy Progress,,6794.0,
2004-04-01,Apr 2004,Duke Energy Carolinas,,7641.0,
2004-05-01,May 2004,Duke Energy Progress,,7278.0,
2004-05-01,May 2004,Duke Energy Carolinas,,8863.0,
2004-05-01,May 2004,Dominion Energy,96603.0,267.0,0.0027638893202074468
2004-06-01,Jun 2004,Duke Energy Progress,,7392.0,
2004-06-01,Jun 2004,Duke Energy Carolinas,,8792.0,
2004-06-01,Jun 2004,Dominion Energy,96899.0,220.0,0.0022704052673402204
2004-07-01,Jul 2004,Duke Energy Carolinas,,7093.0,
2004-07-01,Jul 2004,Dominion Energy,97103.0,117.0,0.0012049061306035858
2004-07-01,Jul 2004,Duke Energy Progress,,5909.0,
2004-08-01,Aug 2004,Duke Energy Carolinas,,8052.0,
2004-08-01,Aug 2004,Dominion Energy,97322.0,122.0,0.0012535706212367193
2004-08-01,Aug 2004,Duke Energy Progress,,7857.0,
2004-09-01,Sep 2004,Duke Energy Carolinas,,9669.0,
2004-09-01,Sep 2004,Dominion Energy,97217.0,430.0,0.004423094726231009
2004-09-01,Sep 2004,Duke Energy Progress,,589.0,
2004-10-01,Oct 2004,Dominion Energy,97200.0,274.0,0.0028189300411522633
2004-10-01,Oct 2004,Duke Energy Progress,,7771.0,
2004-10-01,Oct 2004,Duke Energy Carolinas,,9785.0,
2004-11-01,Nov 2004,Duke Energy Carolinas,,8248.0,
2004-11-01,Nov 2004,Duke Energy Progress,,7136.0,
2004-11-01,Nov 2004,Dominion Energy,97290.0,163.0,0.0016754034330352554
2004-12-01,Dec 2004,Duke Energy Carolinas,,4328.0,
2004-12-01,Dec 2004,Duke Energy Progress,,5948.0,
2004-12-01,Dec 2004,Dominion Energy,,,
2005-01-01,Jan 2005,Duke Energy Carolinas,,0.0,
2005-01-01,Jan 2005,Duke Energy Progress,,5911.0,
2005-01-01,Jan 2005,Dominion Energy,97646.0,144.0,0.0014747147860639453
2005-02-01,Feb 2005,Dominion Energy,97743.0,237.0,0.0024247260673398606
2005-02-01,Feb 2005,Duke Energy Carolinas,,4092.0,
2005-02-01,Feb 2005,Duke Energy Progress,,6118.0,
2005-03-01,Mar 2005,Duke Energy Carolinas,,8089.0,
2005-03-01,Mar 2005,Duke Energy Progress,,6422.0,
2005-03-01,Mar 2005,Dominion Energy,97825.0,170.0,0.001737797086634296
2005-04-01,Apr 2005,Duke Energy Carolinas,,9583.0,
2005-04-01,Apr 2005,Duke Energy Progress,,6595.0,
2005-04-01,Apr 2005,Dominion Energy,97897.0,264.0,0.0026967118502099147
2005-05-01,May 2005,Duke Energy Carolinas,,10095.0,
2005-05-01,May 2005,Duke Energy Progress,,7133.0,
2005-05-01,May 2005,Dominion Energy,98029.0,263.0,0.0026828795560497405
2005-06-01,Jun 2005,Dominion Energy,98135.0,180.0,0.0018342079788047079
2005-06-01,Jun 2005,Duke Energy Progress,,7344.0,
2005-06-01,Jun 2005,Duke Energy Carolinas,,9113.0,
2005-07-01,Jul 2005,Dominion Energy,98293.0,132.0,0.001342923707690273
2005-07-01,Jul 2005,Duke Energy Progress,,3361.0,
2005-07-01,Jul 2005,Duke Energy Carolinas,,6196.0,
2005-08-01,Aug 2005,Duke Energy Carolinas,,8809.0,
2005-08-01,Aug 2005,Dominion Energy,98435.0,226.0,0.002295931325240006
2005-08-01,Aug 2005,Duke Energy Progress,,6965.0,
2005-09-01,Sep 2005,Dominion Energy,98555.0,106.0,0.0010755415757698747
2005-09-01,Sep 2005,Duke Energy Progress,,7145.0,
2005-09-01,Sep 2005,Duke Energy Carolinas,,7999.0,
2005-10-01,Oct 2005,Dominion Energy,98617.0,128.0,0.0012979506575945324
2005-10-01,Oct 2005,Duke Energy Progress,,7561.0,
2005-10-01,Oct 2005,Duke Energy Carolinas,,10629.0,
2005-11-01,Nov 2005,Duke Energy Carolinas,,10093.0,
2005-11-01,Nov 2005,Duke Energy Progress,,,
2005-11-01,Nov 2005,Dominion Energy,98743.0,126.0,0.0012760398205442411
2005-12-01,Dec 2005,Duke Energy Carolinas,,3836.0,
2005-12-01,Dec 2005,Duke Energy Progress,,6202.0,
2005-12-01,Dec 2005,Dominion Energy,98905.0,24.0,0.0002426570951923563
2006-01-01,Jan 2006,Duke Energy Carolinas,,10421.0,
2006-01-01,Jan 2006,Dominion Energy,99044.00000000001,98.0,0.0009894592302411049
2006-01-01,Jan 2006,Duke Energy Progress,,6162.0,
2006-02-01,Feb 2006,Duke Energy Carolinas,,8824.0,
2006-02-01,Feb 2006,Dominion Energy,99135.0,251.0,0.0025319009431583194
2006-02-01,Feb 2006,Duke Energy Progress,,6622.0,
2006-03-01,Mar 2006,Duke Energy Progress,,8283.0,
2006-03-01,Mar 2006,Duke Energy Carolinas,,10827.0,
