reporting_period,utility_type,service_provider,residential_accounts,total_arrears_thirty_days,residential_repayment_plan_accounts,residential_good_standing_repayment_plan_accounts,repayment_plan_balance,residential_accounts_disconnected_for_nonpayment,residential_accounts_reconnected,residential_accounts_reconnected_<24h,residential_accounts_disconnected_>7d,vulnerable_customer_accounts,past_due_accounts,thirty_days_balances_no_rp,total_arrears_thirty_days_no_rp,thirty_days_balances_rp,total_arrears_thirty_days_rp,sixty_days_balances_no_rp,total_arrears_sixty_days_no_rp,sixty_days_balances_rp,total_arrears_sixty_days_rp,notified_accounts,vulnerable_disconnections,residential_accounts_reconnected_24h_to_48h,residential_accounts_reconnected_>48h,multi_disconnections,avg_reconnection_time,thirty_days_balances,sixty_days_balances,long_term_arrears_ratio,sixty_days_arrears_rp_ratio,thirty_days_arrears_rp_ratio,rp_balance_per_account,account_disconnection_rate,>24h_disconnection_rate,total_arrears_sixty_days,thirty_day_arrear_account_ratio,sixty_day_arrear_account_ratio,rp_balance_per_all_account,average_arrears_thirty_days,average_arrears_sixty_days,average_thirty_day_arrear_balance,average_sixty_day_arrear_balance,total_arrears
2022-07-31,Electric,Dominion Energy,106468.0,11691377.24,5561.0,5561.0,5981331.8,98.0,65.0,39.0,42.0,,,,,,,,,,,,,,,,,,,,,,1075.5856500629384,0.0009204643648795882,0.6020408163265306,,,,56.179620167562085,109.81118495698239,,,,
2022-07-31,Electric,Duke Energy Carolinas,1832116.0,126144178.0,67989.0,67989.0,52717145.0,6026.0,3260.0,2329.0,1132.0,,,,,,,,,,,,,,,,,,,,,,775.3775610760564,0.0032890930486934233,0.613508131430468,,,,28.77391224136463,68.85163275687783,,,,
2022-07-31,Electric,Duke Energy Progress,1291000.0,85748058.0,44678.0,44678.0,35878797.0,3421.0,1803.0,1259.0,694.0,,,,,,,,,,,,,,,,,,,,,,803.0528895653341,0.0026498838109992253,0.6319789535223619,,,,27.791477149496515,66.41987451587916,,,,
2022-07-31,Electric,Total,3229584.0,223583613.24,118228.0,118228.0,94577273.8,9545.0,5128.0,3627.0,1868.0,,,,,,,,,,,,,,,,,,,,,,799.9566414047433,0.0029554890041565726,0.6200104766893662,,,,29.28466136815144,69.22984918181413,,,,
2022-08-31,Electric,Dominion Energy,106527.0,12844251.370000001,5371.0,,5275189.42,98.0,,53.0,,0.0,18050.0,6649.0,6871154.33,4600.0,5973097.04,4424.0,5973097.04,3915.0,3430417.53,7425.0,0.0,50.0,50.0,8.0,1.32,11249.0,8339.0,0.7413103386967731,0.4694807530879002,0.4089252377989155,982.1615006516478,0.0009199545655092136,0.4591836734693877,9403514.57,0.10559764191237903,0.07828062369164625,49.51974072300919,120.57273151407625,88.27353225003989,1141.8127273535426,1127.6549430387338,22247765.94
2022-08-31,Electric,Duke Energy Carolinas,1835035.0,46359632.0,66397.0,,52331427.0,7984.0,,371.0,,,397565.0,194760.0,40094291.0,4121.0,6265341.0,137757.0,53805485.0,60927.0,36333177.0,69357.0,,164.0,448.0,2175.0,0.98,198881.0,198684.0,0.9990094579170459,0.3066527752612188,0.020720933623624177,788.1595102188352,0.004350870691839665,0.9535320641282565,90138662.0,0.10837994915628313,0.1082725942556954,28.517944889334537,25.26362276468841,49.12094973665352,233.10236774754753,453.67851462624066,136498294.0
2022-08-31,Electric,Duke Energy Progress,1293295.0,35640014.0,43722.0,,36895961.0,4600.0,,211.0,,,245164.0,119982.0,30600028.0,3562.0,5039986.0,82501.0,35624994.0,39119.0,24503176.0,37828.0,,90.0,227.0,247.0,0.81,123544.0,121620.0,0.984426601049019,0.3216493997697747,0.028831833193032442,843.8763322812314,0.003556806451737616,0.9541304347826087,60128170.0,0.09552654266814609,0.09403886970876714,28.528650462578142,27.557528638091078,46.49223108416873,288.48033089425627,494.3937674724552,95768184.0
2022-08-31,Electric,Total,3234857.0,94843897.37,115490.0,,94502577.42,12682.0,,635.0,,0.0,660779.0,321391.0,77565473.33,12283.0,17278424.04,224682.0,95403576.03999999,103961.0,64266770.53,114610.0,0.0,304.0,725.0,2430.0,3.1100000000000003,333674.0,328643.0,0.9849224092976977,0.31633413765088564,0.036811378770896144,818.274979825093,0.0039204205935532855,0.9499290332755086,159670346.57,0.10314953644009611,0.10159428994852014,29.213834620819405,29.319347770241468,49.359321469233414,284.2411976060466,485.8473984536412,254514243.94
2022-09-30,Electric,Dominion Energy,106688.0,10443255.66,5560.0,,5513050.98,101.0,,49.0,,0.0,19698.0,6461.0,6329735.23,4593.0,4113520.43,4010.0,5381864.34,3777.0,3288427.22,6962.0,0.0,4.0,48.0,39.0,3.07,11054.0,7787.0,0.7044508775104035,0.4850391678438423,0.4155056992943731,991.5559316546763,0.0009466856628674265,0.5148514851485149,8670291.56,0.10361052789442111,0.0729885272945411,51.67451803389323,97.88594462357528,81.2677298290342,944.7490193595079,1113.4315602927957,19113547.22
2022-09-30,Electric,Duke Energy Carolinas,1838267.0,36395841.0,65433.0,,51189951.0,6727.0,,331.0,,,370113.0,146950.0,30943465.0,2881.0,5452376.0,155354.0,56430569.0,64928.0,39472614.0,66700.0,,110.0,372.0,2311.0,1.19,149831.0,220282.0,1.4702030954875827,0.2947494575135508,0.01922833058579333,782.3262115446335,0.0036594248822396313,0.950795302512264,95903183.0,0.08150665817315983,0.11983134114902787,27.84685304147874,19.798996010916802,52.17043171639376,242.91262155361707,435.3654996776859,132299024.0
